name,path,sha,size,url,html_url,git_url,download_url,type,City,topic
introtoStats,introtoStats,5cf16b759bfae5d1038749256242f17f2b18ce74,3471423,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20170930introtoStats.pptx?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20170930introtoStats.pptx,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/5cf16b759bfae5d1038749256242f17f2b18ce74,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20170930introtoStats.pptx,file,Istanbul,Intro
 UI Shiny.zip, UI Shiny.zip,63c71066db7b5236b4ee9320986a47fd572d49bb,11417,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20180106_UI_Shiny.zip?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20180106_UI_Shiny.zip,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/63c71066db7b5236b4ee9320986a47fd572d49bb,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20180106_UI_Shiny.zip,file,Istanbul,shiny
 ggplot, ggplot,3a50eaf33f4056d4e454941a9ae710cb59611ff1,2073,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20181222_ggplot2.R?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20181222_ggplot2.R,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/3a50eaf33f4056d4e454941a9ae710cb59611ff1,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20181222_ggplot2.R,file,Istanbul,ggplot
 ggplot, ggplot,d094d1ac35d7409432e174c71c4a0e57f775e354,5625,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20181222_ggplot2.Rmd?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20181222_ggplot2.Rmd,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/d094d1ac35d7409432e174c71c4a0e57f775e354,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20181222_ggplot2.Rmd,file,Istanbul,ggplot
 TemelRveTidyverse.zip, TemelRveTidyverse.zip,c3beaa5853e97f58f2dfd9b46ac01cb301d95ca0,608685,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20191012_TemelRveTidyverse.zip?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20191012_TemelRveTidyverse.zip,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/c3beaa5853e97f58f2dfd9b46ac01cb301d95ca0,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20191012_TemelRveTidyverse.zip,file,Istanbul,tidyverse
 ShinyWorkshop.zip, ShinyWorkshop.zip,204cd4d4ca7e15eb70b66b83441fd8b2776dfe79,5068734,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20200223_ShinyWorkshop.zip?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20200223_ShinyWorkshop.zip,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/204cd4d4ca7e15eb70b66b83441fd8b2776dfe79,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20200223_ShinyWorkshop.zip,file,Istanbul,shiny
 Shiny Workshop images.zip, Shiny Workshop images.zip,8f6044528a070fc2374dd4d4b6676a82a1b0e381,1655236,https://api.github.com/repos/rladies/meetup-presentations_istanbul/contents/20200223_Shiny_Workshop_images.zip?ref=master,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20200223_Shiny_Workshop_images.zip,https://api.github.com/repos/rladies/meetup-presentations_istanbul/git/blobs/8f6044528a070fc2374dd4d4b6676a82a1b0e381,https://raw.githubusercontent.com/rladies/meetup-presentations_istanbul/master/20200223_Shiny_Workshop_images.zip,file,Istanbul,shiny
  rmarkdown,  rmarkdown,f20fd277710f1f60f4b7b9363515e091e459cbec,0,https://api.github.com/repos/rladies/meetup-presentations_la/contents/2017-02-18-rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_la/tree/master/2017-02-18-rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_la/git/trees/f20fd277710f1f60f4b7b9363515e091e459cbec,NA,dir,LA,rmarkdown
  ggplot,  ggplot,a058badc95f5f2b284639dab8370bc03b3add8fb,0,https://api.github.com/repos/rladies/meetup-presentations_la/contents/2017-04-16-ggplot2?ref=master,https://github.com/rladies/meetup-presentations_la/tree/master/2017-04-16-ggplot2,https://api.github.com/repos/rladies/meetup-presentations_la/git/trees/a058badc95f5f2b284639dab8370bc03b3add8fb,NA,dir,LA,ggplot
  purrr,  purrr,d1aedd8183e694e9e96b9bfdded6fbf704ab5bf4,0,https://api.github.com/repos/rladies/meetup-presentations_la/contents/2018-04-28-purrr?ref=master,https://github.com/rladies/meetup-presentations_la/tree/master/2018-04-28-purrr,https://api.github.com/repos/rladies/meetup-presentations_la/git/trees/d1aedd8183e694e9e96b9bfdded6fbf704ab5bf4,NA,dir,LA,purrr
