City,tweet
Berlin,Want to start a blog? Check Berlin awesome materials on #blogdown! https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-05_Hands-on_blogdown_How_to_create_your_first_blog #rladies #iwd2020
London,Want to start a blog? Check London intuitive materials on #blogdown! https://github.com/rladies/meetup-presentations_london/tree/master/2017-04-26_Make_your_own_blog #rladies #iwd2020
RTP,Want to start a blog? Check RTP super materials on #blogdown! https://github.com/rladies/meetup-presentations_rtp/tree/master/2019-06-27-blogdown #rladies #iwd2020
Sandiego,Want to start a blog? Check Sandiego exceptional materials on #blogdown! https://github.com/rladies/meetup-presentations_sandiego/tree/master/2018-07-05_blogdown #rladies #iwd2020
