name,path,sha,size,url,html_url,git_url,download_url,type,repo
intro_r.Rmd,intro_r.Rmd,a6c53a472015395a1a54f0dcf9dafffa195e0852,868,https://api.github.com/repos/rladies/meetup-presentations_sarasota/contents/intro_r.Rmd?ref=master,https://github.com/rladies/meetup-presentations_sarasota/blob/master/intro_r.Rmd,https://api.github.com/repos/rladies/meetup-presentations_sarasota/git/blobs/a6c53a472015395a1a54f0dcf9dafffa195e0852,https://raw.githubusercontent.com/rladies/meetup-presentations_sarasota/master/intro_r.Rmd,file,meetup-presentations_sarasota
meetup-presentations_sarasota.Rproj,meetup-presentations_sarasota.Rproj,8e3c2ebc99e2e337f7d69948b93529a437590b27,205,https://api.github.com/repos/rladies/meetup-presentations_sarasota/contents/meetup-presentations_sarasota.Rproj?ref=master,https://github.com/rladies/meetup-presentations_sarasota/blob/master/meetup-presentations_sarasota.Rproj,https://api.github.com/repos/rladies/meetup-presentations_sarasota/git/blobs/8e3c2ebc99e2e337f7d69948b93529a437590b27,https://raw.githubusercontent.com/rladies/meetup-presentations_sarasota/master/meetup-presentations_sarasota.Rproj,file,meetup-presentations_sarasota
Getting Started with Shiny.pptx,Getting Started with Shiny.pptx,ad97c69674e6efab84aed6cb7dd40963260ab11a,5441996,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Getting%20Started%20with%20Shiny.pptx?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Getting%20Started%20with%20Shiny.pptx,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/ad97c69674e6efab84aed6cb7dd40963260ab11a,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Getting%20Started%20with%20Shiny.pptx,file,meetup-presentations_stockholm
Getting Started with Shiny.zip,Getting Started with Shiny.zip,fab1b6ab6a282f5adb5bae36ffba7955bd20062b,6149705,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Getting%20Started%20with%20Shiny.zip?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Getting%20Started%20with%20Shiny.zip,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/fab1b6ab6a282f5adb5bae36ffba7955bd20062b,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Getting%20Started%20with%20Shiny.zip,file,meetup-presentations_stockholm
Ggplot2.zip,Ggplot2.zip,01ba633860d86f3a7bfa2199723baab8c8f5bd8e,745024,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Ggplot2.zip?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Ggplot2.zip,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/01ba633860d86f3a7bfa2199723baab8c8f5bd8e,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Ggplot2.zip,file,meetup-presentations_stockholm
Intro to R-Ladies_ada_2019.pdf,Intro to R-Ladies_ada_2019.pdf,194426c8961afe651fb418191185981c8f46c769,2835814,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Intro%20to%20R-Ladies_ada_2019.pdf?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Intro%20to%20R-Ladies_ada_2019.pdf,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/194426c8961afe651fb418191185981c8f46c769,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Intro%20to%20R-Ladies_ada_2019.pdf,file,meetup-presentations_stockholm
Intro to R.zip,Intro to R.zip,1239484d5e971b66c3529102c01716aad1d6cd0a,3318551,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Intro%20to%20R.zip?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Intro%20to%20R.zip,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/1239484d5e971b66c3529102c01716aad1d6cd0a,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Intro%20to%20R.zip,file,meetup-presentations_stockholm
On the Class Imbalance Problem.pdf,On the Class Imbalance Problem.pdf,2f9f3bb1a7ae87b8a4287a6b1d0d8ceb7e00735d,410226,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/On%20the%20Class%20Imbalance%20Problem.pdf?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/On%20the%20Class%20Imbalance%20Problem.pdf,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/2f9f3bb1a7ae87b8a4287a6b1d0d8ceb7e00735d,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/On%20the%20Class%20Imbalance%20Problem.pdf,file,meetup-presentations_stockholm
Pres_Rladies_Aminata.zip,Pres_Rladies_Aminata.zip,7534ecf7f749c8b89dd581daa2678aa8c6a85c75,4556664,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Pres_Rladies_Aminata.zip?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Pres_Rladies_Aminata.zip,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/7534ecf7f749c8b89dd581daa2678aa8c6a85c75,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Pres_Rladies_Aminata.zip,file,meetup-presentations_stockholm
R-Ladies_STHLM_ cleaning_data_in_R_ 20180919.pdf,R-Ladies_STHLM_ cleaning_data_in_R_ 20180919.pdf,34b7d7b3fde34eaa5e551adfeb6837dfa76f3f61,2283323,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/R-Ladies_STHLM_%20cleaning_data_in_R_%2020180919.pdf?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/R-Ladies_STHLM_%20cleaning_data_in_R_%2020180919.pdf,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/34b7d7b3fde34eaa5e551adfeb6837dfa76f3f61,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/R-Ladies_STHLM_%20cleaning_data_in_R_%2020180919.pdf,file,meetup-presentations_stockholm
