City,tweet
Ames,Dive in the world of web scrapping with Ames awesome materials! https://github.com/rladies-ames/WebscrapingTidyverse/tree/f6adc80bde205532f9744dff78a57b8d797aa990 #rladies #iwd2020
Brussels,Dive in the world of web scrapping with Brussels admirable materials! https://github.com/rladies/meetup-presentations_brussels/tree/master/06_API_Webscraping_Workshop_Sep18 #rladies #iwd2020
Buenosaires,Master your skills for webscrapping! Browse the phenomenal Buenosaires's materials for inspiration! https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-06-15-webscrapping-y-datos-meteorologicos #rladies #iwd2020
Sandiego,Master your skills for webscrapping! Browse the excellent Sandiego's materials for inspiration! https://github.com/rladies/meetup-presentations_sandiego/tree/master/2018-10-23_web_scraping #rladies #iwd2020
Tbilisi,Want to learn web scrapping? Check Tbilisi phenomenal materials on it! https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_02_09_6_scraping_data #rladies #iwd2020
