City,html_url,topic,language
Montevideo,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2018-10-23-tidyverse,tidyverse,Spanish
Montreal,https://github.com/rladies/meetup-presentations_montreal/tree/master/20190117_dplyr,dplyr,English
Montreal,https://github.com/cldougl/rladies-git-intro/tree/51807f9d8b5e4064ac1730ca03f3618931cbd853,git,English
Montreal,https://github.com/rladies/meetup-presentations_montreal/tree/master/20191121_dplyr-workshop,dplyr,English
Montreal,https://github.com/Scott-Clone/portfolio-modelling/tree/993f826eee0fec086201875b14ed0ac4d53c02e8,Modelling,English
Nashville,https://github.com/rladies/meetup-presentations_nashville/tree/master/2019-09-16_r_package_development,Package,English
Orlando,https://github.com/rladies/meetup-presentations_orlando/blob/master/dplyr_2.pdf,dplyr,English
Orlando,https://github.com/rladies/meetup-presentations_orlando/blob/master/dplyr_part1.R,dplyr,English
Oslo,https://github.com/rladies/meetup-presentations_oslo/tree/master/data_tidying_Mo,tidyverse,English
Oslo,https://github.com/rladies/meetup-presentations_oslo/tree/master/topic_model,Modelling,English
Rotterdam,https://github.com/rladies/meetup-presentations_rotterdam/tree/master/Introduction%20dplyr,dplyr,English
Rotterdam,https://github.com/rladies/meetup-presentations_rotterdam/tree/master/Introduction%20git,git,English
Rotterdam,https://github.com/rladies/meetup-presentations_rotterdam/tree/master/Tidyverse%20special%20edition.%20Workshop,tidyverse,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2016-12-13-rmarkdown,rmarkdown,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2017-02-09-rgitgithub,git,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2019-06-27-blogdown,blogdown,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2019-07-31-rmarkdown,rmarkdown,English
Sandiego,https://github.com/rladies/meetup-presentations_sandiego/tree/master/2017-07-13_rmarkdown,rmarkdown,English
Sandiego,https://github.com/rladies/meetup-presentations_sandiego/tree/master/2017-12-12_ggplot2maps,spatial,English
